artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,atl hip hop,melodic rap,rap,trap,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,,
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,,,,,
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,,,,,,
6Ip8FS7vWT1uKkJSweANQK,Dave,uk hip hop,,,,,,
718COspgdWOnwOFpJHRZHS,Luke Combs,contemporary country,country,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,pop,,,,,,
46pWGuE3dSwY3bMMXGBvVS,Rema,afrobeats,nigerian pop,,,,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,,,,
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,art pop,electropop,pop,,,,
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,canadian contemporary r&b,canadian pop,pop,,,,
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,hip pop,pop,queens hip hop,rap,,,
33NVpKoXjItPwUJTMZIOiY,David Kushner,gen z singer-songwriter,singer-songwriter pop,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,,
3hcs9uc56yIGFCSy9leWe7,Lil Durk,chicago drill,chicago rap,drill,hip hop,rap,trap,
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,classic oklahoma country,modern country pop,,,,,
7tYKF4w9nC0nq9CsPZTHyP,SZA,pop,r&b,rap,,,,
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,big room,dance pop,edm,pop,pop dance,,
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,,,,,,
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,k-pop girl group,,,,,,
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,piano rock,pop,,,,,
718COspgdWOnwOFpJHRZHS,Luke Combs,contemporary country,country,,,,,
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,hip hop,rap,,,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,,
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,australian pop,pop,viral pop,,,,
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,dance pop,pop,uk pop,,,,
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,melodic rap,pop,rap,,,
3TVXtAsR1Inumwj472S9r4,Drake,canadian hip hop,canadian pop,hip hop,rap,toronto rap,,
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,gauze pop,indietronica,modern rock,pov: indie,shiver pop,,
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,melodic rap,pop,rap,,,
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,melodic rap,pop,rap,,,
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,conscious hip hop,hip hop,north carolina hip hop,rap,,,
3TVXtAsR1Inumwj472S9r4,Drake,canadian hip hop,canadian pop,hip hop,rap,toronto rap,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,,
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",hip hop,rap,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,bedroom pop,,,,,,
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,big room,dance pop,edm,pop,pop dance,,
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,hip hop,rap,,,,,
718COspgdWOnwOFpJHRZHS,Luke Combs,contemporary country,country,,,,,
3hcs9uc56yIGFCSy9leWe7,Lil Durk,chicago drill,chicago rap,drill,hip hop,rap,trap,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,hip hop,rap,,,,,
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,pov: indie,singer-songwriter pop,,,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,,
360IAlyVv4PCEVjgyMZrxK,Miguel,r&b,,,,,,
1G0YV9WooUBjrwDq0Q7EFK,Charlotte Cardin,canadian pop,indie quebecois,,,,,
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,canadian hip hop,canadian trap,melodic rap,r&b,rap,toronto rap,trap
