artist_id,name,Genre 1,Genre 2,Genre 3
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,
0DwdA5ZgTJcIQ2uIhc110D,Keung To,cantopop,hk-pop,
0DwdA5ZgTJcIQ2uIhc110D,Keung To,cantopop,hk-pop,
0DwdA5ZgTJcIQ2uIhc110D,Keung To,cantopop,hk-pop,
0DwdA5ZgTJcIQ2uIhc110D,Keung To,cantopop,hk-pop,
0DwdA5ZgTJcIQ2uIhc110D,Keung To,cantopop,hk-pop,
2G4Ntbg3dYqkUAGrMUZ0U7,Anson Lo 盧瀚霆,hk-pop,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,
2G4Ntbg3dYqkUAGrMUZ0U7,Anson Lo 盧瀚霆,hk-pop,,
2G4Ntbg3dYqkUAGrMUZ0U7,Anson Lo 盧瀚霆,hk-pop,,
1qW9Pi35NXnu7Q8KWyVYe6,陳卓賢 Ian,cantopop,hk-pop,
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,k-pop,k-pop girl group,
1qW9Pi35NXnu7Q8KWyVYe6,陳卓賢 Ian,cantopop,hk-pop,
2G4Ntbg3dYqkUAGrMUZ0U7,Anson Lo 盧瀚霆,hk-pop,,
1qW9Pi35NXnu7Q8KWyVYe6,陳卓賢 Ian,cantopop,hk-pop,
64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,j-pop,japanese teen pop,
1qW9Pi35NXnu7Q8KWyVYe6,陳卓賢 Ian,cantopop,hk-pop,
5tRk0bqMQubKAVowp35XtC,MC 張天賦,cantopop,hk-pop,
0DwdA5ZgTJcIQ2uIhc110D,Keung To,cantopop,hk-pop,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,
5tRk0bqMQubKAVowp35XtC,MC 張天賦,cantopop,hk-pop,
5tRk0bqMQubKAVowp35XtC,MC 張天賦,cantopop,hk-pop,
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,,
3tvtGR8HzMHDbkLeZrFiBI,Terence Lam,cantopop,,
6RHTUrRF63xao58xh9FXYJ,IVE,k-pop girl group,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,
6UZ0ba50XreR4TM8u322gs,JISOO,k-pop,,
2MVfNjocvNrE03cQuxpsWK,Hins Cheung,cantopop,,
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,k-pop girl group,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,
6V1SwiosQqf5XvmoTMCGa9,Dear Jane,cantopop,,
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,pop,viral pop,
0DwdA5ZgTJcIQ2uIhc110D,Keung To,cantopop,hk-pop,
6R57JlNKlnNrYaji0vw8xx,Gareth.T,hk-pop,hong kong hip hop,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,k-pop girl group,,
5tRk0bqMQubKAVowp35XtC,MC 張天賦,cantopop,hk-pop,
1qW9Pi35NXnu7Q8KWyVYe6,陳卓賢 Ian,cantopop,hk-pop,
0wTxCGuTsFbWO9ePajJ8Y6,Coca-Cola Hong Kong,,,
5tRk0bqMQubKAVowp35XtC,MC 張天賦,cantopop,hk-pop,
4EXI1ieJe2VDbvNsKOaNQL,Jay Fung,cantopop,,
3tvtGR8HzMHDbkLeZrFiBI,Terence Lam,cantopop,,
5vGoWnZO65NBgiZYBmi3iW,KANGDANIEL,k-pop,,
1oSPZhvZMIrWW5I41kPkkY,Jimin,k-pop,,
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,
0DwdA5ZgTJcIQ2uIhc110D,Keung To,cantopop,hk-pop,
7y3HnWCFEvWj4KM9GFSkiX,WeiBird,chinese r&b,mandopop,taiwan singer-songwriter
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,k-pop,k-pop girl group,
1wmTLcYhwwD3GbNoI2Vwls,Winka 陳泳伽,hk-pop,,
