artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4
64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,j-pop,japanese teen pop,,
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,,
2IUl3m1H1EQ7QfNbNWvgru,Vaundy,j-pop,japanese soul,,
5kjGRHClVacSyllOUqU1S0,SPITZ,classic j-pop,j-pop,j-rock,
7mvhRvEAHiCTQHUnH7fgnv,Tatsuya Kitani,japanese electropop,,,
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,anime rock,j-pop,j-rock,
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,anime rock,j-pop,j-rock,
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,anime rock,j-pop,j-rock,
5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,anime,anime rock,j-pop,
5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,anime,anime rock,j-pop,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,anime rock,j-pop,j-rock,
6cutt8thPFUICMfxaYerWd,MY FIRST STORY,j-pop,j-rock,japanese post-hardcore,
6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,japanese teen pop,,,
3NTbOmzlj2cL86XFuDVFvZ,MAN WITH A MISSION,anime rock,j-pop,j-rock,
6FuFgQvi3GNYr4yDuh4Fxq,Conton Candy,,,,
64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,j-pop,japanese teen pop,,
6WmXWHmfBMhupyIs8MSqtu,natori,,,,
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,anime rock,j-pop,j-rock,
2IUl3m1H1EQ7QfNbNWvgru,Vaundy,j-pop,japanese soul,,
0B1ce3uNrzkdm76NXI4mhX,Tani Yuuki,j-pop,japanese teen pop,,
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,japanese singer-songwriter,japanese teen pop,
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,japanese singer-songwriter,japanese teen pop,
4TaSvnT5o4REFwhqfrmK27,imase,japanese teen pop,,,
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,anime rock,j-pop,j-rock,
6whFEcaV75AmQMiwlfaxvc,QUEEN BEE,anime rock,dance rock,j-rock,
4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,j-indie,j-pop,japanese alternative rock,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,
64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,j-pop,japanese teen pop,,
4UK2Lzi6fBfUi9rpDt6cik,ヨルシカ,j-pop,,,
1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,anime,j-pop,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,
6rs1KAoQnFalSqSU4LTh8g,back number,j-pop,j-rock,,
5kVZa4lFUmAQlBogl1fkd6,Aimyon,j-acoustic,j-pop,,
1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,anime,j-pop,,
1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,anime,j-pop,japanese alternative rock,japanese teen pop
4d1EYQLZDof8IHoNt8i9FR,MUKADE,,,,
6mEQK9m2krja6X1cfsAjfl,Ado,j-pop,japanese teen pop,,
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,japanese singer-songwriter,japanese teen pop,
0QZqdhoRQkn1VphAa5eX8h,10-FEET,j-pop,j-rock,japanese punk rock,japanese ska
0jWCX6zp4RjWrmZRxJ2uri,Novelbright,j-pop,j-rock,,
6rs1KAoQnFalSqSU4LTh8g,back number,j-pop,j-rock,,
6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,japanese teen pop,,,
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,k-pop girl group,,,
1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,anime,j-pop,,
1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,anime,j-pop,japanese alternative rock,japanese teen pop
5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,anime,anime rock,j-pop,
6RHTUrRF63xao58xh9FXYJ,IVE,k-pop girl group,,,
1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,anime,j-pop,,
6WmXWHmfBMhupyIs8MSqtu,natori,,,,
