artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,atl hip hop,melodic rap,rap,trap,,
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,,,,,
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,corrido,corridos tumbados,sad sierreno,sierreno,,
718COspgdWOnwOFpJHRZHS,Luke Combs,contemporary country,country,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,
7tYKF4w9nC0nq9CsPZTHyP,SZA,pop,r&b,rap,,,
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,art pop,electropop,pop,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,hip pop,pop,queens hip hop,rap,,
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,musica chihuahuense,,,,,
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",hip hop,rap,,,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,
1NNRWkhwmcXRimFYSBpB1y,Yng Lvcas,reggaeton,,,,,
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,melodic rap,pop,rap,,
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,classic oklahoma country,modern country pop,,,,
4q3ewBCX7sLwd24euuV69X,Bad Bunny,reggaeton,trap latino,urbano latino,,,
3hcs9uc56yIGFCSy9leWe7,Lil Durk,chicago drill,chicago rap,drill,hip hop,rap,trap
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,bedroom pop,,,,,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,corrido,corridos tumbados,sad sierreno,sierreno,,
7Gi6gjaWy3DxyilpF1a8Is,Junior H,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,conscious hip hop,hip hop,north carolina hip hop,rap,,
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,corrido,corridos tumbados,sad sierreno,sierreno,,
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,,,,,
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,k-pop girl group,,,,,
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,melodic rap,philly rap,rage rap,rap,trap,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,sad sierreno,,,,,
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,pop,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,
3TVXtAsR1Inumwj472S9r4,Drake,canadian hip hop,canadian pop,hip hop,rap,toronto rap,
7iK8PXO48WeuP03g8YR51W,Myke Towers,reggaeton,trap latino,urbano latino,,,
716NhGYqD1jl2wI1Qkgq36,Bizarrap,argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,australian pop,pop,viral pop,,,
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,melodic rap,pop,rap,,
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,colombian pop,,,,,
3TVXtAsR1Inumwj472S9r4,Drake,canadian hip hop,canadian pop,hip hop,rap,toronto rap,
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,pov: indie,singer-songwriter pop,,,,
46pWGuE3dSwY3bMMXGBvVS,Rema,afrobeats,nigerian pop,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,
7tYKF4w9nC0nq9CsPZTHyP,SZA,pop,r&b,rap,,,
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,hip hop,rap,,,,
33NVpKoXjItPwUJTMZIOiY,David Kushner,gen z singer-songwriter,singer-songwriter pop,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,conscious hip hop,hip hop,rap,west coast rap,,
